"";"TCGA.DZ.6132";"TCGA.BQ.7055";"TCGA.BQ.5877";"TCGA.GL.A9DE";"TCGA.P4.A5E8";"TCGA.Y8.A8RY";"TCGA.BQ.7051";"TCGA.BQ.5878";"TCGA.GL.A59R";"TCGA.DZ.6133";"TCGA.BQ.5882";"TCGA.A4.A4ZT";"TCGA.BQ.5879";"TCGA.B9.4115";"TCGA.BQ.7059";"TCGA.BQ.7045";"TCGA.BQ.5875";"TCGA.BQ.5888";"TCGA.BQ.5887";"TCGA.BQ.7061";"TCGA.DZ.6131";"TCGA.GL.6846";"TCGA.DZ.6134";"TCGA.BQ.5894";"TCGA.BQ.5890";"TCGA.BQ.5884";"TCGA.BQ.7046";"TCGA.P4.A5ED";"TCGA.BQ.7044";"TCGA.A4.A57E";"TCGA.BQ.5891";"TCGA.GL.7966"
"TCGA.DZ.6132";0;0,689398243318869;0,117325717488632;0,702885813854235;0,794866675500048;0,645663679355403;0,70343340702961;0,344517987052343;0,665198475181546;0,650295462078167;0,214610859978243;0,752059740498706;0,370722933906155;0,547684810428372;0,597827205094448;0,651066142226788;0,817970514465411;0,809146532099962;0,594479894910753;0,672488379964967;0,505544099115435;0,526670929590089;0,683576213737834;0,0981702523123904;0,453953468859584;0,292214041017765;0,505891376932683;0,698525994791058;0,604016771546742;0,805165941780558;0,504991818514472;0,861647726229747
"TCGA.BQ.7055";0,689398243318869;0;0,148360043359396;0,77736833532197;0,703877915824286;0,709707995027072;0,724067090007752;0,359238250354573;0,756867225481285;0,765652686493892;0,234883536146976;0,725433913296467;0,396253363945149;0,628946995661564;0,576010674253755;0,687637422710504;0,822001614462727;0,74433532508315;0,830453853816484;0,78092064584381;0,719734309746631;0,605314133744282;0,679924722647944;0,127991225680748;0,483293098229988;0,337516693405824;0,540022671462153;0,790719574015482;0,597870263341866;0,738528061886098;0,583071101590392;0,672808071420671
"TCGA.BQ.5877";0,117325717488632;0,148360043359396;0;0,0621396636314007;0,0477291344433164;0,0144266768940495;0,344456962075018;0,700420179246352;0,0585383034255303;0,321615672071506;0,826857512982847;0,0558235879948248;0,705473571974522;0,457011706745073;0,503978650844979;0,405855812274301;0,177518692011362;0,0795602332040873;0,155591567750326;0,0360252975565113;0,111109593674689;0,48599385157618;0,361380366700423;0,926889842726623;0,460337222109802;0,741304311568797;0,553943017520297;0,0565970489691137;0,41777586269775;0,177162358380903;0,536281762801966;0,0878820567710975
"TCGA.GL.A9DE";0,702885813854235;0,77736833532197;0,0621396636314007;0;0,723449702503248;0,855429028174053;0,625299133099985;0,298971983268225;0,716898942013213;0,62500854756327;0,165495871160247;0,876657419198723;0,325517866370404;0,574815658982889;0,510976789811479;0,585313742294292;0,795188889539852;0,696546710685688;0,738779713042419;0,781693215723195;0,651972238104913;0,523969781962777;0,579387875071211;0,0428419282954181;0,37929174480704;0,237753905712796;0,463251152198522;0,766873952043863;0,520092199288906;0,742572117508896;0,507236487724269;0,739073332754275
"TCGA.P4.A5E8";0,794866675500048;0,703877915824286;0,0477291344433164;0,723449702503248;0;0,678412902961196;0,6522152091119;0,267868257106824;0,769177695765271;0,603488530449432;0,138165923979229;0,753749812930715;0,290454716475762;0,499466242475922;0,515764461553267;0,583504239609598;0,812120954680813;0,738755571735657;0,632650575063145;0,741986751834945;0,528698960528978;0,475721815228495;0,604970375293926;0,031381450908145;0,399737060858838;0,221139063318687;0,433533508249217;0,799946061447352;0,54886933628635;0,814772629174211;0,450515918882744;0,777192006030839
"TCGA.Y8.A8RY";0,645663679355403;0,709707995027072;0,0144266768940495;0,855429028174053;0,678412902961196;0;0,576756914527339;0,26995276146921;0,63571621938007;0,543047033485299;0,131017371376089;0,869260581224517;0,276078093350991;0,545444007095585;0,449762494133165;0,503626218721568;0,722935191635172;0,642231631219106;0,659726117147908;0,687257732927363;0,555874379888889;0,498436887981285;0,496222701945616;0;0,287832070417117;0,171114902498848;0,431165632524867;0,681823153538607;0,423648967196224;0,662758274364638;0,450846027705108;0,678548293758394
"TCGA.BQ.7051";0,70343340702961;0,724067090007752;0,344456962075018;0,625299133099985;0,6522152091119;0,576756914527339;0;0,569319561206209;0,60149172423348;0,762385869862711;0,441334095607705;0,637084530890904;0,581612793095958;0,75727654444891;0,800009965835902;0,786201140001722;0,785175044990551;0,654335266699192;0,650113351761418;0,582175801749866;0,522966092901043;0,749458054180685;0,773870649805086;0,328112150131295;0,571097537865085;0,496249893723736;0,742541255968453;0,631489778268989;0,710248625051675;0,73225579432219;0,709171022647281;0,661129298493321
"TCGA.BQ.5878";0,344517987052343;0,359238250354573;0,700420179246352;0,298971983268225;0,267868257106824;0,26995276146921;0,569319561206209;0;0,24011148679106;0,486777043409129;0,826315395616439;0,308035003671174;0,822893166555115;0,69151165790465;0,707805056810013;0,576855380901175;0,405778258378684;0,289816999086819;0,344414890451796;0,22885986343331;0,262710907207402;0,709606838896562;0,526613309659958;0,690595287222858;0,499313159175865;0,691323123122554;0,790035182829992;0,254959919179747;0,538650554641704;0,382209256433212;0,706569020839797;0,320084823249623
"TCGA.GL.A59R";0,665198475181546;0,756867225481285;0,0585383034255303;0,716898942013213;0,769177695765271;0,63571621938007;0,60149172423348;0,24011148679106;0;0,667693903366298;0,127100074438992;0,672482790834644;0,29954500735827;0,496710465671307;0,478979347069272;0,603983573956199;0,75092192920919;0,695814608965154;0,735639536711194;0,875238812161015;0,691049325289419;0,469287564066026;0,603847057377721;0,0381039189321748;0,478310475223835;0,261898450884352;0,405698198561995;0,902652362644401;0,57848328154224;0,779928808953252;0,482223545927026;0,667086391172833
"TCGA.DZ.6133";0,650295462078167;0,765652686493892;0,321615672071506;0,62500854756327;0,603488530449432;0,543047033485299;0,762385869862711;0,486777043409129;0,667693903366298;0;0,385049852786966;0,594158680678839;0,565491545251684;0,698826802696293;0,707066957468562;0,844772897895465;0,732631763381123;0,68379699215627;0,716707419019158;0,664615392278393;0,685573815782382;0,702016403707658;0,842529518883356;0,297686788885484;0,683002465356334;0,534573409546935;0,652551334944061;0,663150144631407;0,772804831529027;0,726095972482235;0,733886224799663;0,611718285445236
