"";"TCGA.DZ.6132";"TCGA.BQ.7055";"TCGA.BQ.5877";"TCGA.GL.A9DE";"TCGA.P4.A5E8";"TCGA.Y8.A8RY";"TCGA.BQ.7051";"TCGA.BQ.5878";"TCGA.GL.A59R";"TCGA.DZ.6133";"TCGA.BQ.5882";"TCGA.A4.A4ZT";"TCGA.BQ.5879";"TCGA.B9.4115";"TCGA.BQ.7059";"TCGA.BQ.7045";"TCGA.BQ.5875";"TCGA.BQ.5888";"TCGA.BQ.5887";"TCGA.BQ.7061";"TCGA.DZ.6131";"TCGA.GL.6846";"TCGA.DZ.6134";"TCGA.BQ.5894";"TCGA.BQ.5890";"TCGA.BQ.5884";"TCGA.BQ.7046";"TCGA.P4.A5ED";"TCGA.BQ.7044";"TCGA.A4.A57E";"TCGA.BQ.5891";"TCGA.GL.7966"
"TCGA.DZ.6132";0;0,66752018738151;0,620190693314775;0,537800304983955;0,52660007873013;0,739693765302824;0,570216414006518;0,583854681594525;0,690261395480901;0,632399633578288;0,653206860675274;0,676423679447529;0,344845534960249;0,691092106395251;0,72788347446011;0,562214548501898;0,659971784069582;0,457564780475024;0,370128253243292;0,610055524171295;0,669366564372976;0,644668350636258;0,780319426855235;0,483450583677064;0,5745910929365;0,633112853793098;0,768019512221449;0,652578561068032;0,662513907751906;0,628977911868988;0,678273373290401;0,567379945610166
"TCGA.BQ.7055";0,66752018738151;0;0,725877847885124;0,612503559852448;0,542409846153327;0,722888901589929;0,62077407613199;0,664180623699072;0,602321428154547;0,614561405303467;0,775537969634492;0,649443848793574;0,266827219346068;0,654201433924489;0,586871499354654;0,442024808035799;0,689640835383522;0,357086042468494;0,295176975039786;0,668168127827907;0,719521765774941;0,636936235471393;0,754663591917677;0,442320409287192;0,605806856297982;0,667942187657281;0,624997421632924;0,634989487376639;0,642447437890365;0,70041463282592;0,702437947420089;0,660174587555201
"TCGA.BQ.5877";0,620190693314775;0,725877847885124;0;0,60518831830929;0,655641542026411;0,731879670937908;0,650316077795043;0,733664277722775;0,664740577420096;0,706257705698979;0,831710383909688;0,72349141268732;0,352030596523727;0,709360340670801;0,465327933465392;0,404356769920567;0,713369745667396;0,389066712940565;0,131573562972549;0,700562852639149;0,610900331018517;0,777616650312609;0,678380827432468;0,54802271565944;0,631325822722355;0,595362632175658;0,552685483020637;0,647841254532557;0,673817323656384;0,708239017691087;0,800876880310057;0,846379329441559
"TCGA.GL.A9DE";0,537800304983955;0,612503559852448;0,60518831830929;0;0,44145907678891;0,650211408117607;0,841263117723876;0,611746723353797;0,580879555038368;0,688486123684816;0,634114368359664;0,65264927581398;0,202171383716562;0,644446424744778;0,477743757902533;0,374232991502287;0,609790212624981;0,270257413030142;0,164786052693998;0,855350215618156;0,662179419982488;0,586560412232996;0,67562524147159;0,361744453738642;0,736817282042763;0,787200137011366;0,56214607194312;0,480059471818636;0,685976446882917;0,626729810536432;0,636280065065732;0,539802477910889
"TCGA.P4.A5E8";0,52660007873013;0,542409846153327;0,655641542026411;0,44145907678891;0;0,5391573394541;0,498584984523517;0,542434746060902;0,564219081743525;0,545261821142948;0,663101004161792;0,536548606059438;0,421263633604964;0,543272596029381;0,407331473373343;0,421376627790732;0,605612357773247;0,437981470959957;0,166009169870626;0,538860581587543;0,520589689300921;0,604205444153872;0,552170611255579;0,599705176008507;0,566606116329171;0,443058321140081;0,487091357898499;0,589056376858412;0,566597997324941;0,618287995408003;0,63125418675959;0,693200799600824
"TCGA.Y8.A8RY";0,739693765302824;0,722888901589929;0,731879670937908;0,650211408117607;0,5391573394541;0;0,698988717811778;0,690307601234565;0,767994900130634;0,76792392749379;0,743872530584114;0,866058089567215;0,310443674522997;0,875208617389003;0,614408410077156;0,502112688784156;0,717111001671398;0,416023690886854;0,261400774556333;0,719639391086987;0,707013873360222;0,79373876472303;0,81100313359178;0,487546373502104;0,647732799813323;0,708125670221454;0,714857511054295;0,643326380859875;0,751747597032914;0,719339819174899;0,801378237842698;0,671754295709547
"TCGA.BQ.7051";0,570216414006518;0,62077407613199;0,650316077795043;0,841263117723876;0,498584984523517;0,698988717811778;0;0,682611100153955;0,624606042978883;0,748921941338462;0,663672036344298;0,712469536572002;0,255425324017047;0,702251338513844;0,501532225828367;0,420505140519346;0,648209021436097;0,307916566752337;0,175221555420041;0,838160006437435;0,661358989112281;0,661864254140869;0,709755584247142;0,426957387886751;0,75150960036962;0,748525802397888;0,60282497596866;0,518638925413077;0,750943270935965;0,679761004409494;0,705621490841212;0,596306856618984
"TCGA.BQ.5878";0,583854681594525;0,664180623699072;0,733664277722775;0,611746723353797;0,542434746060902;0,690307601234565;0,682611100153955;0;0,646023170634971;0,708304812110139;0,743409270721891;0,710230772359984;0,293043543352211;0,699123272767334;0,439023728748053;0,386442453563662;0,65360438829446;0,31361774376369;0,130323273526958;0,674105091415877;0,574894215207143;0,717080423020691;0,654782356767629;0,472490643337247;0,568045996868782;0,593469073983082;0,549904249930999;0,519989776425657;0,68652376595337;0,680022691081398;0,702242781582234;0,720708284693502
"TCGA.GL.A59R";0,690261395480901;0,602321428154547;0,664740577420096;0,580879555038368;0,564219081743525;0,767994900130634;0,624606042978883;0,646023170634971;0;0,797348082556142;0,655590772425642;0,794485574668476;0,405078832775885;0,780561461401856;0,521484908357557;0,491008576779122;0,706183176445763;0,492295322948242;0,187328919485866;0,664867495559875;0,564966400490288;0,781639919876996;0,685667882313732;0,556231277957004;0,561307822123403;0,600845515928987;0,658640017865968;0,594723403784081;0,731307389877582;0,614823009527601;0,696334945753172;0,640743508521225
"TCGA.DZ.6133";0,632399633578288;0,614561405303467;0,706257705698979;0,688486123684816;0,545261821142948;0,76792392749379;0,748921941338462;0,708304812110139;0,797348082556142;0;0,678170494049155;0,838010957184222;0,368760075276039;0,788837768554204;0,481115929366591;0,442671602373766;0,711414033683834;0,422119737464844;0,134017385791472;0,750953392992606;0,581369503572327;0,817397613534322;0,689694829491601;0,525167039651628;0,630776390995134;0,646200629655956;0,626452243860691;0,557914716632749;0,758056369987659;0,639777412415949;0,760640139863437;0,661590013757917
